City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,lionel town,17.8101,-77.2406,84.07,61,36,14.32,JM,1738340653
1,yanam,16.7333,82.2167,67.84,98,18,0.4,IN,1738340655
2,puerto natales,-51.7236,-72.4875,63.05,36,75,29.93,CL,1738340361
3,georgetown,5.4112,100.3354,82.33,56,20,9.22,MY,1738340379
4,lewistown,40.5992,-77.5714,36.61,100,100,0.0,US,1738340390
5,adamstown,-25.066,-130.1015,76.1,69,100,14.23,PN,1738340659
6,kaffrine,14.1059,-15.5508,95.54,6,0,14.94,SN,1738340660
7,waitangi,-43.9535,-176.5597,57.34,79,0,9.55,NZ,1738340662
8,sumenep,-7.0167,113.8667,77.65,88,100,10.54,ID,1738340663
9,souillac,-20.5167,57.5167,82.78,74,20,6.91,MU,1738340664
10,kapuskasing,49.4169,-82.4331,-3.91,77,75,5.75,CA,1738340665
11,nova sintra,14.8667,-24.7167,74.7,70,0,23.42,CV,1738340666
12,bontang,0.1333,117.5,78.06,84,100,1.16,ID,1738340650
13,grand forks,47.9417,-97.4337,1.78,65,75,19.57,US,1738340669
14,tofol,5.3248,163.0078,81.32,78,100,14.63,FM,1738340670
15,manado,1.487,124.8455,77.77,100,40,2.3,ID,1738340671
16,boguchany,58.3814,97.4531,-27.51,100,33,1.63,RU,1738340673
17,east london,-33.0153,27.9116,73.98,79,33,14.54,ZA,1738340674
18,ilulissat,69.2167,-51.1,26.62,36,75,14.97,GL,1738340675
19,port-aux-francais,-49.35,70.2167,41.58,78,10,43.04,TF,1738340676
20,domna,51.8971,113.1573,-29.04,68,48,2.24,RU,1738340677
21,qala i naw,34.9874,63.1289,34.2,68,48,3.36,AF,1738340679
22,blackmans bay,-43.0167,147.3167,62.73,85,40,5.75,AU,1738340680
23,codrington,-38.2667,141.9667,53.33,92,9,8.16,AU,1738340681
24,grytviken,-54.2811,-36.5092,55.42,67,31,15.7,GS,1738340469
25,wailua homesteads,22.0669,-159.378,70.59,86,75,4.61,US,1738340684
26,kodiak,57.79,-152.4072,24.31,74,0,14.97,US,1738340685
27,la almunia de dona godina,41.4767,-1.3745,51.62,45,4,13.15,ES,1738340686
28,albany,42.6001,-73.9662,36.63,74,100,2.17,US,1738340550
29,carnarvon,-24.8667,113.6333,81.93,73,17,16.46,AU,1738340688
30,iqaluit,63.7506,-68.5145,-0.31,77,75,19.57,CA,1738340690
31,tahara,34.6667,137.2667,39.94,50,81,19.15,JP,1738340691
32,cabo san lucas,22.8909,-109.9124,69.76,58,0,4.61,MX,1738340692
33,geraldton,-28.7667,114.6,75.61,83,100,13.8,AU,1738340695
34,igarka,67.4667,86.5833,-17.75,93,96,7.87,RU,1738340696
35,acarau,-2.8856,-40.12,85.8,65,97,13.42,BR,1738340697
36,lakatoro,-16.0999,167.4164,78.01,92,100,7.56,VU,1738340699
37,hawaiian paradise park,19.5933,-154.9731,74.71,96,75,9.22,US,1738340700
38,utrik,11.2278,169.8474,79.57,66,83,12.66,MH,1738340701
39,felipe carrillo puerto,19.5833,-88.05,85.37,60,20,7.78,MX,1738340703
40,enewetak,11.3474,162.3373,80.28,80,38,16.22,MH,1738340704
41,kavieng,-2.5744,150.7967,82.9,76,65,11.39,PG,1738340705
42,barcelos,41.5388,-8.6151,55.65,62,6,4.83,PT,1738340706
43,quellon,-43.1167,-73.6167,58.28,56,5,10.11,CL,1738340707
44,puerto ayora,-0.7393,-90.3518,79.56,90,71,1.99,EC,1738340709
45,cooma,-36.2333,149.1333,55.99,95,53,2.84,AU,1738340710
46,klyuchi,52.2667,79.1667,-1.46,99,89,6.42,RU,1738340713
47,bilibino,68.0546,166.4372,-46.79,100,84,2.68,RU,1738340714
48,ribeira grande,38.5167,-28.7,65.77,88,75,18.01,PT,1738340715
49,grand island,40.925,-98.342,35.38,79,0,18.41,US,1738340620
50,san jose de jachal,-30.2406,-68.7469,88.27,30,0,7.11,AR,1738340702
51,hami,42.8,93.45,27.19,52,100,3.49,CN,1738340718
52,papatowai,-46.5619,169.4708,52.21,89,53,4.09,NZ,1738340720
53,mount pearl,47.5166,-52.7813,22.44,69,75,36.82,CA,1738340721
54,carutapera,-1.195,-46.02,80.04,91,73,7.43,BR,1738340722
55,invercargill,-46.4,168.35,52.02,92,68,1.99,NZ,1738340724
56,jacutinga,-22.2856,-46.6122,72.88,86,100,3.29,BR,1738340726
57,chernyshevskiy,63.0128,112.4714,-36.24,100,70,1.57,RU,1738340727
58,magadan,59.5667,150.8,-11.94,82,2,8.46,RU,1738340728
59,tolanaro,-25.0319,46.9987,78.69,90,65,4.99,MG,1738340729
60,bredasdorp,-34.5322,20.0403,73.35,43,0,18.5,ZA,1738340730
61,ngereklmadel,7.4883,134.4856,78.89,94,75,10.36,PW,1738340731
62,fisterra,42.9049,-9.2629,53.22,77,100,5.95,ES,1738340733
63,longyearbyen,78.2186,15.6401,26.44,74,75,5.75,SJ,1738340553
64,cabcaben,14.454,120.5914,76.64,86,58,10.2,PH,1738340735
65,trondheim,63.4305,10.3951,35.65,92,37,1.99,NO,1738340736
66,phan rang-thap cham,11.5667,108.9833,68.45,91,97,3.94,VN,1738340738
67,chenzhou,25.8,113.0333,51.6,94,100,5.44,CN,1738340739
68,nuuk,64.1835,-51.7216,25.41,74,40,3.44,GL,1738340740
69,onsala,57.4253,12.029,32.95,86,5,8.46,SE,1738340741
70,antonio enes,-16.2325,39.9086,80.4,85,38,5.79,MZ,1738340743
71,yellowknife,62.456,-114.3525,-30.48,68,0,8.05,CA,1738340744
72,rongelap,11.1635,166.8941,79.2,68,94,14.56,MH,1738340746
73,edinburgh of the seven seas,-37.0676,-12.3116,62.65,80,21,19.19,SH,1738340634
74,vadso,70.0744,29.7487,30.36,93,100,4.61,NO,1738340749
75,udachny,66.4167,112.4,-24.54,100,98,1.97,RU,1738340750
76,mirny,62.5353,113.9611,-28.53,100,97,2.04,RU,1738340751
77,bubaque,11.2833,-15.8333,80.35,51,4,10.04,GW,1738340752
78,talnakh,69.4865,88.3972,-5.12,98,100,6.89,RU,1738340754
79,bethel,41.3712,-73.414,38.93,87,100,0.0,US,1738340756
80,vikhorevka,56.1201,101.1636,-26.99,100,27,1.03,RU,1738340757
81,saipan,15.1355,145.701,83.1,80,40,17.27,MP,1738340759
82,holualoa,19.6228,-155.9522,69.84,98,100,4.61,US,1738340744
83,sungai raya,0.7,108.9,76.73,84,98,6.35,ID,1738340761
84,stanley,54.868,-1.6985,39.22,90,75,1.14,GB,1738340762
85,west island,-12.1568,96.8225,80.58,89,100,6.91,CC,1738340764
86,greymouth,-42.4667,171.2,52.47,94,100,3.98,NZ,1738340765
87,surskoye,54.4821,46.7214,32.94,94,100,5.77,RU,1738340767
88,college,64.8569,-147.8028,-29.25,69,0,0.0,US,1738340769
